VALID,TURB,LAT,LON,color
202409011247,NEG,35.2225,-80.9543,b
202409011247,INTMT LGT CHOP,36.0975,-79.9436,g
202409011247,NEG,34.9157,-81.9565,b
202409011247,NEG,26.8989,-81.9896,b
202409011249,CONS LGT CHOP,44.03,-84.08,g
202409011250,NEG,33.2981,-81.2023,b
202409011250,NEG,31.2093,-83.2685,b
202409011251,LGT CHOP,38.9531,-105.5942,g
202409011253,LGT CHOP,34.96,-85.5568,g
202409011255,NEG,31.8709,-84.0494,b
202409011256,NEG,41.8829,-91.7246,b
202409011257,NEG,28.7797,-81.3007,b
202409011257,NEG,42.5544,-92.4013,b
202409011258,NEG,32.987,-74.2425,b
202409011258,MOD CHOP,30.9612,-78.3916,y
202409011300,NEG,26.6847,-80.0994,b
202409011300,LGT CONS CHOP,37.5553,-82.9781,g
202409011301,NEG,34.8434,-86.3301,b
202409011301,NEG,28.2616,-85.5405,b
202409011301,NEG,25.5417,-78.4853,b
202409011302,NEG,36.8065,-80.7294,b
202409011303,OCNL LGT CHOP,30.78,-85.2589,g
202409011303,OCNL LGT CHOP,33.9727,-86.0891,g
202409011303,INTMT MOD CHOP,37.9573,-88.1458,y
202409011304,NEG,47.5094,-94.9337,b
202409011305,NEG,34.0066,-93.6681,b
202409011306,CONS LGT CHOP,36.3944,-81.9742,g
202409011308,NEG,35.0809,-92.6659,b
202409011308,LGT,41.9911,-88.2486,g
202409011309,NEG,34.5824,-81.9565,b
202409011309,NEG,37.93,-87.76,b
202409011309,SMOOTH,25.788,-80.502,k
202409011310,NEG,32.1032,-77.9,b
202409011310,NEG,34.9553,-91.4734,b
202409011310,NEG,32.5599,-81.8054,b
202409011310,CONS LGT CHOP,38.735,-106.294,g
202409011311,NEG,34.8892,-80.9543,b
202409011311,INTMT LGT CHOP,36.0975,-79.9436,g
202409011311,NEG,35.8964,-94.5584,b
202409011312,LGT CHOP BLO 220,34.7442,-84.8957,g
202409011312,SMOOTH,26.2353,-80.0988,k
202409011312,INTMT LGT CHOP,34.9157,-81.9565,g
202409011312,NEG,34.0866,-82.78,b
202409011312,NEG,44.3852,-98.2286,b
202409011312,INTMT LGT CHOP,27.68,-80.49,g
202409011312,MOD,35.3892,-115.7548,y
202409011313,NEG,39.9467,-93.49,b
202409011313,NEG,36.0975,-79.9436,b
202409011313,LGT CHOP,36.0975,-79.9436,g
202409011314,NEG,45.4256,-84.9134,b
202409011314,NEG,44.4515,-83.3942,b
202409011314,NEG,43.4149,-102.7554,b
202409011316,NEG,28.1995,-85.9135,b
202409011319,OCNL LGT CHOP,32.4687,-100.4688,g
202409011319,OCNL LGHT CHOP,38.8567,-76.8071,k
202409011322,NEG,41.541,-105.3095,b
202409011322,NEG,37.265,-80.5441,b
202409011324,INTMT LGT CHOP,21.8463,-72.6828,g
202409011325,SMOOTH,38.817,-77.5988,k
202409011327,LGT CHOP,22.4058,-75.4457,g
202409011328,CONS LGT CHOP 200-230,41.5339,-94.3211,g
202409011328,LGT CHOP,30.4804,-83.7804,g
202409011329,NEG,26.5,-78.78,b
202409011330,NEG,35.4345,-93.0962,b
202409011332,CONS LGT CHOP,29.6138,-81.2444,g
202409011332,NEG,26.6523,-80.57,b
202409011333,CONS LGT CHOP,25.1333,-80.9167,g
202409011334,NEG,39.4766,-94.1372,b
202409011335,NEG,38.4817,-82.555,b
202409011337,CON LGT CHOP,41.784,-94.2316,g
202409011337,NEG CHOP,42.6202,-89.0416,b
202409011338,NEG,37.7388,-87.1668,b
202409011347,OCNL LGT CHOP,40.6343,-107.2197,g
202409011347,OCNL LGT CHOP,40.6343,-107.2197,g
202409011349,NEG,36.25,-94.8434,b
202409011349,SMOOTH,41.0971,-72.8868,k
202409011349,NEG,40.6152,-106.0096,b
202409011349,NEG,40.6152,-106.0096,b
202409011357,NEG,33.2589,-85.0726,b
202409011357,OCNL LGT CHOP,45.6923,-85.5666,g
202409011402,NEG,44.3852,-98.2286,b
202409011402,LGT CHOP,39.8755,-105.7196,g
202409011402,LGT CHOP,39.8755,-105.7196,g
202409011403,NEG,33.3919,-85.4559,b
202409011404,NEG,45.5709,-84.7967,b
202409011404,LGT CHOP,34.6266,-85.8545,g
202409011405,NEG,36.3452,-81.5388,b
202409011405,MOD-SEVERE,26.901,-79.3542,y
202409011405,CONS LGT CHOP,37.9293,-99.8674,g
202409011407,NEG,34.8,-86.1225,b
202409011410,OCNL LGT CHOP,44.5469,-95.082,g
202409011412,NEG,26.8999,-84.0502,b
202409011414,NEG,25.9302,-81.1704,b
202409011414,NEG,28.5961,-81.309,b
202409011415,NEG,25.0068,-81.0776,b
202409011415,NEG,30.8159,-80.4424,b
202409011417,LGT CHOP,29.0546,-87.6748,g
202409011418,LGT,38.365,-82.555,g
202409011420,LT CHOP 023-BLOW,40.08,-83.08,k
202409011422,NEG 360,30.0627,-77.6085,b
202409011426,LGT,31.7263,-84.6696,g
202409011427,CONT MOD,33.7939,-100.9353,y
202409011429,NEG,33.9486,-83.3264,b
202409011429,NEG,34.9157,-81.9565,b
202409011429,NEG,35.0824,-81.9565,b
202409011430,NEG,35.0931,-85.0276,b
202409011430,NEG,35.2225,-80.9543,b
202409011430,NEG,36.0975,-80.1499,b
202409011431,NEG,27.6511,-80.6754,b
202409011432,NEG,33.378,-80.8707,b
202409011432,NEG,33.7589,-85.0726,b
202409011435,NEG,34.7273,-92.0329,b
202409011436,LGT CHOP,28.1028,-80.6453,g
202409011436,NEG,34.175,-91.9347,b
202409011437,CONS LGT CHOP,35.3558,-90.345,g
202409011438,NEG,36.7877,-86.6409,b
202409011440,LGT-MOD CHOP,37.9275,-100.7244,g
202409011440,NEG,36.1189,-86.6892,b
202409011440,SMOOTH,40.7987,-72.5053,k
202409011442,LGT-MOD,33.1767,-100.5895,g
202409011442,LGT CHOP,27.9773,-79.0711,g
202409011443,CONS MOD 260,42.3606,-70.5586,y
202409011444,NEG,31.6269,-98.9565,b
202409011444,NEG,32.7037,-78.5898,b
202409011445,LGT,44.47,-73.15,g
202409011446,LGT CHOP,27.5631,-81.0093,g
202409011446,NEG,27.1214,-81.7567,b
202409011447,CONT LGT. OCCL MOD CHOP,33.0736,-96.8274,g
202409011448,OCNL LGT CHOP,33.4495,-81.2228,g
202409011449,NEG CHOP,34.6775,-88.7711,b
202409011449,NEG,29.9593,-81.0511,b
202409011450,OCNL LGT CHOP,28.3795,-78.0156,g
202409011452,MOD,41.41,-74.59,y
202409011453,CONS LGT,28.0911,-77.0021,g
202409011455,LGT TURB,40.3547,-79.9217,g
202409011457,NEG,23.3902,-68.5187,b
202409011458,MOD CHOP 110-115,45.8355,-122.2533,y
202409011501,NEG,40.4249,-108.2002,b
202409011501,NEG,36.2555,-81.9534,b
202409011501,NEG,40.4249,-108.2002,b
202409011502,NEG,33.9148,-85.6932,b
202409011502,LGT CHOP BLO 260,39.2866,-107.8917,g
202409011502,LGT CHOP BLO 260,39.2866,-107.8917,g
202409011502,NEG,39.762,-107.3628,b
202409011502,NEG,39.762,-107.3628,b
